1001,Film,Interstellar,Christopher Nolan,8.6,https://www.youtube.com/watch?v=0vxOhd4qlnA, Matthew McConaughey - Anne Hathaway - Jessica Chastain ,2h 49m,2014
1002,Film,the father,Florian Zeller,8.3,https://www.youtube.com/watch?v=4TZb7YfK-JI, actors, 1h 37m,2020
1003,Series,Westworld,Jonathan Nolan,8.6,https://www.youtube.com/watch?v=9BqKiZhEFFw, actors,None,28
1004,Series,Game of Thrones,Alex Graves-David Nutter,9.3,https://www.youtube.com/watch?v=KPLWWIOCOOQ, actors,73,
1005,Film,pianist,Roman Polanski,8.5,https://www.youtube.com/watch?v=BFwGqLa_oAo,actors, 2h 30m,2002
1006,Documentary,A Plastic Ocean,Craig Leeson,8,https://www.youtube.com/watch?v=6zrn4-FfbXw ,none,1h 20m,change around the globe
1007,Clip,LIFE WITH NATURE, Dr. Anthony, 9.1, https://www.youtube.com/watch?v=vPuRBiBCxyk, none ,3m 20s,Pixar
